scorer,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4
bodyparts,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,1.7318419572044996,1.0,5.772805548680256,1.0,,,3.63608293951873,1.0,,,2.6241581080081335,1.0,,,2.0977300534138332,1.0,5.783696934042902,1.0,3.95248216553593,1.0,,,2.8664922127762167,1.0,3.6709310145014764,1.0,3.60388818467861,1.0,3.8526978641262364,1.0,,,0.739137788908841,1.0,,,1.8914036528491227,1.0,5.795247750677488,1.0,,,,,,,,,,,2.219996594280285,0.9980000257492065,,,,,,,8.076680465532128,1.0,,,1.8102048933983554,1.0,4.351515710555946,1.0,,,2.1054422133564112,1.0,1.1724214752402138,0.984000027179718,4.071696938515714,1.0,5.551232283268736,1.0,4.264434013534092,1.0,2.734208750733364,1.0,0.41561714616766954,1.0,3.5849332506497404,1.0,5.184742042068023,1.0,1.9830847745259164,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2.1236846040678907,1.0,,,3.597315296619885,1.0,,,5.532934170756438,1.0,,,2.887872962099108,1.0,,,4.251342984386249,1.0,3.5274116216549456,1.0,3.873892709593805,1.0,1.91824305988346,1.0,2.7982249280960043,1.0,2.575669280399684,1.0,,,4.3743601178249705,1.0,4.244755994733506,1.0,6.398717251235444,1.0,4.31352981883529,1.0,,,2.19793702174305,1.0,,,,,,,,,,,,,,,,,9.741831204026111,0.9929999709129333,1.684113043377832,1.0,5.8762358280449405,1.0,,,4.179061404924578,1.0,,,5.083123674632137,1.0,4.412053150213264,1.0,1.025008210120868,1.0,1.3763592699644325,1.0,6.071291331667339,1.0,3.954641435673471,1.0,3.7357809637886645,1.0,2.874130474709149,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,2.6595663278474246,1.0,,,1.3150451597307031,1.0,,,1.5514003745335905,1.0,,,7.083749491864971,1.0,3.2535097362415275,1.0,,,2.574686943541538,1.0,4.589335024537014,1.0,2.2643453330274053,1.0,3.2009758158120256,1.0,1.3988016858960963,1.0,4.437490567722621,1.0,3.2782739415986692,1.0,,,4.7886016235107745,1.0,3.789584665550759,1.0,,,,,,,1.9336893570128928,1.0,,,0.43754294150072204,1.0,,,1.3484292033492373,1.0,4.9650687631922565,1.0,2.5126315902855785,1.0,,,,,2.31311757406087,1.0,,,1.6882369176373906,1.0,2.9892291351859326,1.0,1.1764050724169541,1.0,1.0506664703641484,1.0,6.201261507276045,1.0,1.8335823039434602,1.0,2.5737245889070897,1.0,2.3154447686407713,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1.8811998750284253,1.0,,,6.171288320301297,1.0,,,2.6424025624071903,1.0,,,2.5479043720055397,1.0,,,3.695737014301385,1.0,4.2150944844973175,1.0,,,2.314026885190364,1.0,2.804781440060805,1.0,0.9181334218684833,1.0,4.942916145673855,1.0,3.6328610246666693,1.0,7.148275677389404,1.0,5.840151541418308,1.0,6.595943193701658,1.0,7.492047664460622,1.0,1.7425587848784947,1.0,,,3.8343540189280665,0.996999979019165,,,0.2220520420798446,1.0,11.318178050385423,0.8619999885559082,2.6215019356046163,1.0,,,4.7871536725167045,1.0,,,3.384355488702498,1.0,2.244479456712124,1.0,,,0.856888184544088,1.0,,,1.2545539628354185,1.0,4.668434058370524,1.0,4.287034292229895,1.0,1.5798027945839834,1.0,4.252295107067233,1.0,3.5213820431195195,1.0,4.651815037682294,1.0,1.9982047918924708,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.9396969780220854,1.0,,,4.859001532684492,1.0,,,3.1525452611207885,1.0,,,2.712657211923836,1.0,,,3.550026307609621,1.0,4.681460003052355,1.0,,,3.6802506157694688,1.0,1.5128823052381606,1.0,0.3154181495745168,1.0,6.272373822392729,1.0,3.574098906825289,1.0,2.2704982630299466,1.0,2.921162946890627,1.0,7.222323891172314,1.0,3.789160432932649,1.0,0.7976186092088656,1.0,,,4.710246944330285,0.859000027179718,,,4.457021406394823,1.0,,,2.08940051452841,1.0,,,3.99518836923863,1.0,,,1.0886866242600215,1.0,2.28633130885921,0.9990000128746033,,,3.133427422835619,1.0,,,3.968894797127924,1.0,4.360462253096204,1.0,5.782120106611935,1.0,1.8376237489971128,1.0,6.012446086392048,1.0,2.512863427687582,1.0,5.494169817348723,1.0,3.396355508310596,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,3.4273825537642137,1.0,,,4.92776023616849,1.0,,,1.8700755941670557,1.0,,,2.0427832446053302,1.0,,,2.366111250037957,1.0,0.9839317134255313,1.0,,,3.819089991142636,1.0,2.1378531797828817,1.0,4.040682255429444,1.0,6.274836470491148,1.0,5.082623885883374,1.0,3.1178412722842745,1.0,0.8877386684264222,1.0,4.517375217336638,1.0,6.37796860049953,1.0,3.029853167921352,1.0,,,,,,,2.388356999997594,1.0,,,1.8968531053016573,1.0,,,5.792728561536321,1.0,,,3.705922646571879,1.0,1.3977443969012635,0.9980000257492065,,,1.0950008413015353,1.0,,,4.388676979540687,1.0,6.595819338936979,1.0,4.5233449540124155,1.0,1.353179073260634,1.0,8.690876998932858,1.0,1.7096834333043511,1.0,5.077925377793419,1.0,3.306902680499019,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,1.3862380526523757,1.0,,,4.259217473870257,1.0,,,2.3991208389440972,1.0,,,3.448768602621265,1.0,,,2.9783043034043573,1.0,1.3504492548073077,1.0,,,2.3768135763460587,1.0,0.7947819076033219,1.0,1.0442608592797424,1.0,1.7254822820423439,1.0,2.962389236824051,1.0,4.070241914998238,1.0,1.593924835374716,1.0,2.135413787523694,1.0,2.91626144662505,1.0,0.6991798499516378,1.0,,,0.9326441465860172,1.0,,,1.8922074481065327,1.0,,,1.9586872390241112,1.0,,,2.4575460523344477,1.0,,,3.1260009553754062,1.0,0.23738464990648853,1.0,,,3.0134526735987186,1.0,2.4177282441974666,0.996999979019165,3.64115281942677,1.0,6.327163706765829,1.0,2.680645318741383,1.0,2.768284211508695,1.0,4.208066897764136,1.0,4.897733425933302,1.0,5.994489906039947,1.0,2.8020391034030117,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
