scorer,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4
bodyparts,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,1.674255553459461,1.0,3.3158946823859625,1.0,,,4.030034013200636,1.0,,,2.4713715375422485,1.0,,,4.7557505853873225,1.0,1.3923930433327985,1.0,6.0727949812939315,1.0,,,3.341682839827876,1.0,0.16187380178666255,1.0,3.839825977104224,1.0,1.4396813212966504,1.0,,,4.620441098444575,1.0,,,3.711904300157332,1.0,3.857085835326515,1.0,,,,,,,,,,,2.1182462168667726,0.9990000128746033,,,,,,,9.461716263349434,0.9990000128746033,,,6.337061649219301,1.0,1.3812231822116683,1.0,,,1.6480922114440422,1.0,4.826028355170103,0.8939999938011169,0.31323823083678437,1.0,4.681378699784437,1.0,5.569325696753803,1.0,2.415515313999024,1.0,3.358780058931031,1.0,4.2633853016687935,1.0,0.713354374853214,1.0,3.580765000770274,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1.6682521593763586,1.0,,,4.659431540609682,1.0,,,5.963074525910445,1.0,,,2.126389502615171,1.0,,,5.210835775414367,1.0,2.8154838272775504,1.0,2.1893751391475336,1.0,3.754633221357132,1.0,5.170372623931643,1.0,4.685675597600634,1.0,,,3.1866155638549998,1.0,2.405238941336614,1.0,0.19721179592236923,1.0,4.576625431393871,1.0,,,6.967000881643336,1.0,,,,,,,,,,,,,,,,,1.1188957021232686,0.953000009059906,6.830548567840028,1.0,4.125651987223254,1.0,,,5.5163983074744385,1.0,,,2.627063175582488,1.0,6.008551053793796,1.0,4.050392642072612,1.0,1.3867129528256539,1.0,4.141311355574414,1.0,4.842974675176847,1.0,2.085327933053877,1.0,3.3809714451521113,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,2.022265802655136,1.0,,,4.444594784550309,0.9990000128746033,,,1.321599509203129,1.0,,,1.7711491592553077,1.0,2.5365441647309823,1.0,,,2.033873853434127,1.0,5.059868382544685,1.0,1.2291695732598644,1.0,5.442195933396236,1.0,2.1566674517274556,1.0,4.3413697701411795,1.0,5.329632127357692,1.0,,,5.207795705296243,1.0,2.5717824786218624,1.0,,,,,,,5.412914933593257,1.0,,,3.9706531528551583,1.0,,,3.936903732888807,0.9990000128746033,1.3852040012590772,0.890999972820282,5.212233303500026,1.0,,,,,2.776602732573157,1.0,,,1.8250859805351969,1.0,4.179789783350963,1.0,5.231386406014527,1.0,2.3979261828740936,1.0,5.346278085725672,1.0,5.3411342563763196,1.0,4.320823811644289,1.0,3.769626096502306,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1.6625734319355943,1.0,,,8.261322853101035,1.0,,,1.1519689972719684,1.0,,,5.396914199230483,1.0,,,3.6526505961144164,1.0,3.6214634513401593,1.0,,,4.442347294013013,1.0,5.373265489002435,1.0,4.316707735747503,1.0,3.1952653575101673,1.0,1.1635604308700909,1.0,6.3212891358120515,1.0,4.085092012578163,1.0,3.9584379104127057,1.0,5.8495545261692286,1.0,3.284788832093869,1.0,,,1.3357739136794717,0.9980000257492065,,,2.126610558606899,1.0,0.821229809851154,0.125,4.746894209114047,0.9990000128746033,,,2.9907736510462946,0.9990000128746033,,,4.294330812340969,1.0,0.3328220995401689,1.0,,,1.4327696857379215,1.0,,,0.47158669250074325,1.0,5.414624529498009,1.0,4.36437235134146,1.0,1.1638643299653841,1.0,3.2574789507448836,1.0,4.258257954424319,1.0,1.2436687331005756,1.0,3.618976663473823,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1.010381532223521,1.0,,,1.5493211132792792,1.0,,,0.5631767526077515,1.0,,,6.198813549980153,1.0,,,5.191372310546187,1.0,3.3962551384108535,1.0,,,6.076022830282362,1.0,2.7081720339761355,1.0,5.335933431445374,1.0,4.608832492075789,1.0,0.6242830369247504,1.0,0.7876518544714077,1.0,1.7576568945100666,1.0,3.5732249384085426,1.0,3.8399926991725106,1.0,2.500614995926799,1.0,,,5.91740517187536,0.996999979019165,,,2.3844012726606123,1.0,,,3.451208361194048,0.9990000128746033,,,3.900953057442824,0.9990000128746033,,,6.649950275511427,1.0,1.3887424352535755,1.0,,,2.5321258348166444,1.0,,,0.7252961726671857,1.0,4.662379350555978,1.0,6.216723592780899,1.0,2.772790838337811,1.0,1.4800316385502308,1.0,4.586686360325399,1.0,1.536547676018426,1.0,3.573033324991609,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,1.31214742267907,1.0,,,3.520079354935527,1.0,,,4.927054914655616,1.0,,,3.9663342772393126,1.0,,,4.748604509947726,1.0,1.320325225634064,1.0,,,2.7645919002563693,1.0,3.9451956502688312,0.9980000257492065,1.0171049344730294,1.0,1.4206013932834636,1.0,4.930991223785133,1.0,2.503203807967036,1.0,3.066312835522579,1.0,4.709067753709107,1.0,0.25578467681431427,1.0,1.6689145216031311,1.0,,,,,,,4.973826677357863,1.0,,,2.8597863604432314,1.0,,,2.2596633265413426,0.9990000128746033,,,5.361538804055266,1.0,1.268657956993104,1.0,,,0.7569340598562807,1.0,,,0.9403356315916457,1.0,5.3890411741118145,1.0,3.289891546497234,1.0,2.5974561931446485,1.0,1.0781585337106265,1.0,3.8196736446314703,1.0,1.4842587272419587,1.0,4.065730822174874,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,4.539178622261137,1.0,,,8.584657287743003,1.0,,,1.1386194035853903,1.0,,,8.148918154932018,1.0,,,3.9092361253228094,1.0,4.941081553318314,1.0,,,6.1880704050587925,1.0,3.2343086511818453,1.0,1.8397758017426684,1.0,2.245726922673602,1.0,6.621350438940442,1.0,2.264547122160793,1.0,1.0454875217926707,1.0,4.948542280171217,1.0,0.3722623812795646,1.0,3.619602802308499,1.0,,,3.4575380611635156,1.0,,,7.3090273519945725,1.0,,,5.463596138445792,0.9990000128746033,,,2.813934773584197,0.9990000128746033,,,6.938453998368964,1.0,3.223497779880875,1.0,,,0.6833947847025099,1.0,5.853797246114797,0.5889999866485596,2.416803067852667,1.0,5.75413702075352,1.0,4.732850649712987,1.0,2.165879463034306,1.0,3.1069617108156464,1.0,5.898658119493061,1.0,1.7981953300111793,1.0,3.2522071292381294,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
