scorer,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4
bodyparts,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip,BL_leg,BL_leg,BL_shoulder,BL_shoulder,BR_leg,BR_leg,BR_shoulder,BR_shoulder,FL_leg,FL_leg,FL_shoulder,FL_shoulder,FR_leg,FR_leg,FR_shoulder,FR_shoulder,Nose,Nose,body_center,body_center,head_base,head_base,head_center,head_center,head_device,head_device,left_ear,left_ear,perc25_bodylength,perc25_bodylength,perc25_tail,perc25_tail,perc75_bodylength,perc75_bodylength,perc75_tail,perc75_tail,right_ear,right_ear,tail_base,tail_base,tail_middle,tail_middle,tail_tip,tail_tip
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,6.555268374445784,0.9480000138282776,3.6441164364735408,0.9980000257492065,,,4.945672451297329,0.9990000128746033,,,2.922384632402492,0.9959999918937683,,,3.584302087917237,0.996999979019165,1.0672673363644674,1.0,6.999889811815761,1.0,,,3.057000947041186,1.0,6.555245060216181,1.0,2.6280114727783506,0.9980000257492065,4.8375625874761905,0.9990000128746033,,,6.731857544166756,1.0,,,12.035023456112517,0.9940000176429749,4.347426441993052,1.0,,,,,,,,,,,5.732372713857464,0.9980000257492065,,,,,,,9.716495790416221,0.9990000128746033,,,1.5230958331308249,1.0,1.9497013123869613,1.0,,,2.5188424542870975,1.0,2.833892452581749,0.5950000286102295,4.769918474362507,1.0,4.752782043696123,1.0,6.137730277407587,1.0,3.7245800882822193,1.0,6.090313007535199,0.9959999918937683,3.9749828956706312,0.9990000128746033,9.327162867821363,1.0,3.45791402185298,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1.9238456764612963,0.9990000128746033,,,4.520363120794568,0.9980000257492065,,,2.945635793415863,1.0,,,4.24597360058269,0.9990000128746033,,,7.13407208994012,1.0,1.0203247727857339,0.996999979019165,5.176296700393319,0.9800000190734863,3.8041150090331137,0.9980000257492065,2.4142109132617633,0.9980000257492065,2.8217563453556362,1.0,,,2.1252935680944294,1.0,1.1658809794191698,1.0,1.595768763676403,0.9950000047683716,2.892662992143986,0.9990000128746033,,,4.808727190203627,1.0,,,,,,,,,,,,,,,,,9.902987402611824,0.9729999899864197,1.2718587097380847,1.0,4.187052692623345,1.0,,,6.724362753155099,1.0,,,6.514252882327176,1.0,5.044596056285046,1.0,4.135751478541461,1.0,2.574759447666657,1.0,9.442460268868688,0.996999979019165,4.594377789205991,0.9990000128746033,6.691131461495978,1.0,3.805853204811783,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,1.89109418132335,1.0,,,4.848360019192727,0.984000027179718,,,1.4057831289514326,0.9950000047683716,,,3.5511909645145434,1.0,3.946095365830876,0.9980000257492065,,,6.502097650003602,0.9990000128746033,3.275497747830971,0.9340000152587891,0.9363462576533942,0.9990000128746033,8.310446270479785,0.9980000257492065,3.532289324718774,1.0,2.294391617052489,1.0,12.148427965772605,0.9729999899864197,,,5.84206630445649,0.9980000257492065,2.7936441983893086,1.0,,,,,,,5.513736876939284,0.9990000128746033,,,5.794388024153892,1.0,,,5.037801948619466,1.0,18.103921490427567,0.7870000004768372,2.5676622622970124,1.0,,,,,5.024327755666072,1.0,,,1.9065909635466765,1.0,5.432410769916449,1.0,6.559462392054375,1.0,4.086739355008866,1.0,6.037094180378107,0.996999979019165,6.412852801907089,1.0,2.78111441864224,1.0,2.286474977921951,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,3.4051167605918016,1.0,,,6.911584250642283,1.0,,,1.5631884598701231,1.0,,,4.287846914063704,0.9980000257492065,,,2.9881960645432364,1.0,3.2407024417581103,0.9990000128746033,,,4.4387382659694214,1.0,5.458769748005873,0.9959999918937683,4.770000968898373,1.0,3.462541557176096,0.9990000128746033,7.571725461833106,1.0,7.8193641315629945,1.0,3.2277512274256464,0.9980000257492065,5.787665379203149,1.0,10.543422009660212,0.9959999918937683,6.050228958116576,1.0,,,2.788559044958858,0.9900000095367432,,,3.768013008793085,0.9990000128746033,0.23700699181348303,0.06499999761581421,5.695788427490028,1.0,,,3.2088459100074895,1.0,,,4.49340067985402,1.0,1.8438398780066827,1.0,,,4.7709700695103585,1.0,,,2.497932872659397,1.0,1.7229121410197623,1.0,3.7848459502967504,1.0,2.96158159526839,1.0,6.499005581333449,0.996999979019165,3.595754967248216,0.9990000128746033,6.1667705129360435,1.0,2.489285617489287,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,2.1492080634818014,1.0,,,5.896341180802839,1.0,,,4.446168282617237,1.0,,,4.649838850256144,0.9980000257492065,,,1.529849924846738,1.0,3.303621156893378,0.9990000128746033,,,4.62107322859775,1.0,3.163984355752636,0.9950000047683716,5.569951029745946,1.0,5.176784416013798,0.9990000128746033,7.4193679322221415,1.0,5.452865670139167,1.0,4.0304246814348685,0.9980000257492065,5.017820764936023,1.0,6.91829168982742,0.9959999918937683,5.440864364564846,1.0,,,6.414514213347309,0.9909999966621399,,,6.330850208788746,0.9990000128746033,,,5.952803422133601,1.0,,,5.404952342775834,1.0,,,3.9649364667706086,1.0,1.7989352814961428,1.0,,,4.259314518292218,1.0,,,3.3114677978226577,1.0,1.838410614049737,1.0,5.540422358488021,1.0,4.22418421626755,1.0,3.46711028591663,0.996999979019165,4.226962384647207,0.9990000128746033,6.7416261217064,1.0,2.7731616054807464,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2.6628182323618685,0.9980000257492065,,,3.3804078850511434,1.0,,,4.326571048669065,1.0,,,5.633735542229249,1.0,,,5.874625119253945,1.0,3.678919629607326,1.0,,,1.1805312541841493,1.0,7.418277303929108,0.9700000286102295,1.3045136700704698,1.0,5.542349558959181,0.9990000128746033,9.709098228062517,1.0,7.002478873338094,1.0,2.958434189839695,0.9860000014305115,6.404082325720481,1.0,2.9325821671619696,0.9980000257492065,5.190283615449396,1.0,,,,,,,3.715262649023834,0.9980000257492065,,,5.76852532347231,1.0,,,3.315145881920735,0.9990000128746033,,,3.505482901106571,1.0,1.4251900512443365,1.0,,,3.1928373065238898,1.0,,,4.09458811488684,1.0,4.3722048116247105,1.0,4.206888924501697,1.0,3.9077470727293337,1.0,3.8184557346166588,0.996999979019165,3.252769295008791,0.9990000128746033,6.8960144843026505,1.0,3.3165684412427936,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.9226759929089432,0.9980000257492065,,,1.7823887327368402,1.0,,,1.3225299938266497,0.9990000128746033,,,4.009583855557882,0.996999979019165,,,2.150881179329336,1.0,5.136460100065891,0.9990000128746033,,,1.1912249407007927,1.0,4.154091358420885,0.9919999837875366,4.87625435043122,1.0,1.711209219338682,1.0,4.59732902838511,1.0,4.988817176925766,1.0,2.151979069748637,0.9950000047683716,6.055223180138904,1.0,3.9527702309444375,1.0,0.9079781667242063,1.0,,,5.118535261324641,0.9900000095367432,,,4.769044329338727,0.9990000128746033,,,2.003850403850965,1.0,,,2.4406676795293927,0.9990000128746033,,,8.309787907485104,1.0,3.7516525967986274,1.0,,,4.28488967806668,1.0,6.627673011509932,0.34299999475479126,6.120144310499271,1.0,5.090333903385045,1.0,4.588245998911182,1.0,4.896435380344035,1.0,3.0710079950498708,0.996999979019165,4.613663628360479,1.0,9.60475183307076,1.0,2.7133379895691214,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
